# SEDust -- size-integrated scattering matrix,
# randomly oriented DH21 astrodust spheroids.
#   P = 0.20, f_Fe = 0.00, axis ratio b/a = 1.4 (oblate)
#   size distribution: data/release/size_distribution.dat,
#     astrodust column, C_sca-weighted average over sizes.
#
# Randomly oriented particles with a plane of symmetry have
# six independent scattering-matrix elements:
#     [ F11  F12   0    0  ]
#     [ F12  F22   0    0  ]
#     [  0    0   F33  F34 ]
#     [  0    0  -F34  F44 ]
# Theta is the scattering angle in degrees, 0 = forward.
#
# Normalization (Mishchenko/Hovenier, as produced by MATR):
#   (1/2) * integral_{-1}^{+1} F11 d(cos Theta) = 1,
#   so F11 = 1 everywhere for isotropic scattering.
#   F22, F33, F44, F12, F34 are NOT divided by F11.
#   Degree of linear polarization for unpolarized incident
#   light is -F12/F11.  Multiply F_ij by C_sca (given per
#   block, in um^2 per H) to recover absolute units.
#
# Blocks are separated by a "# lambda =" line; each block
# has 181 rows at Theta = 0, 1, ..., 180 degrees.
#
#
# lambda [um]   =   4.4000000E-01
# m =   1.5729531E+00  + i   5.7710000E-02
# Cext/H [um^2] =   3.3581243E-14
# Csca/H [um^2] =   2.5431673E-14
# albedo        =   7.5731781E-01
# g = a1(2)/3   =   6.9575386E-01
# g (Csca-wtd single-size, cross-check) =   6.9575386E-01
# Lmax          = 120
# alpha_1(0) (exactly 1 by construction) =   1.00000000249853E+00
# (1/2)int F11 dcos on this 1-deg grid   =   1.0002744E+00
#   (differs from 1 only by trapezoid error on the
#    forward peak; alpha_1(0) is the exact statement)
# van der Mee & Hovenier test: SATISFIED
# size bins: small-x limit 47, large-x limit 7, T-matrix failures redirected 0
#   Theta[deg]          F11            F22            F33            F44            F12            F34
     35.00   3.033369E+00   3.023407E+00   2.958513E+00   2.954556E+00  -5.885168E-02   3.870251E-01
     36.00   2.864879E+00   2.855047E+00   2.788091E+00   2.784345E+00  -5.939136E-02   3.770093E-01
     37.00   2.706062E+00   2.696357E+00   2.627466E+00   2.623924E+00  -5.983750E-02   3.666105E-01
     38.00   2.556445E+00   2.546865E+00   2.476167E+00   2.472821E+00  -6.019462E-02   3.559192E-01
     39.00   2.415562E+00   2.406105E+00   2.333723E+00   2.330567E+00  -6.046728E-02   3.450171E-01
     40.00   2.282955E+00   2.273618E+00   2.199674E+00   2.196701E+00  -6.066005E-02   3.339773E-01
     41.00   2.158178E+00   2.148958E+00   2.073571E+00   2.070775E+00  -6.077746E-02   3.228654E-01
     42.00   2.040798E+00   2.031693E+00   1.954977E+00   1.952352E+00  -6.082396E-02   3.117390E-01
     43.00   1.930398E+00   1.921405E+00   1.843470E+00   1.841010E+00  -6.080393E-02   3.006490E-01
     44.00   1.826578E+00   1.817693E+00   1.738644E+00   1.736344E+00  -6.072161E-02   2.896394E-01
     45.00   1.728955E+00   1.720176E+00   1.640112E+00   1.637967E+00  -6.058111E-02   2.787485E-01
     46.00   1.637162E+00   1.628485E+00   1.547502E+00   1.545506E+00  -6.038638E-02   2.680089E-01
     47.00   1.550852E+00   1.542275E+00   1.460461E+00   1.458610E+00  -6.014124E-02   2.574481E-01
     48.00   1.469696E+00   1.461214E+00   1.378653E+00   1.376943E+00  -5.984934E-02   2.470893E-01
     49.00   1.393379E+00   1.384990E+00   1.301761E+00   1.300186E+00  -5.951419E-02   2.369513E-01
     50.00   1.321607E+00   1.313306E+00   1.229483E+00   1.228041E+00  -5.913911E-02   2.270497E-01
     51.00   1.254100E+00   1.245885E+00   1.161535E+00   1.160221E+00  -5.872730E-02   2.173963E-01
     52.00   1.190596E+00   1.182463E+00   1.097650E+00   1.096461E+00  -5.828178E-02   2.080006E-01
     53.00   1.130847E+00   1.122793E+00   1.037575E+00   1.036507E+00  -5.780541E-02   1.988691E-01
     54.00   1.074620E+00   1.066642E+00   9.810729E-01   9.801226E-01  -5.730089E-02   1.900064E-01
     55.00   1.021697E+00   1.013791E+00   9.279203E-01   9.270849E-01  -5.677075E-02   1.814150E-01
     56.00   9.718731E-01   9.640360E-01   8.779079E-01   8.771847E-01  -5.621736E-02   1.730957E-01
     57.00   9.249552E-01   9.171835E-01   8.308391E-01   8.302255E-01  -5.564291E-02   1.650479E-01
     58.00   8.807632E-01   8.730536E-01   7.865297E-01   7.860232E-01  -5.504943E-02   1.572698E-01
     59.00   8.391280E-01   8.314773E-01   7.448068E-01   7.444052E-01  -5.443876E-02   1.497584E-01
     60.00   7.998915E-01   7.922962E-01   7.055088E-01   7.052098E-01  -5.381260E-02   1.425098E-01
     61.00   7.629053E-01   7.553623E-01   6.684840E-01   6.682857E-01  -5.317249E-02   1.355194E-01
     62.00   7.280307E-01   7.205367E-01   6.335905E-01   6.334911E-01  -5.251981E-02   1.287818E-01
     63.00   6.951379E-01   6.876897E-01   6.006956E-01   6.006933E-01  -5.185582E-02   1.222912E-01
     64.00   6.641055E-01   6.566998E-01   5.696749E-01   5.697682E-01  -5.118168E-02   1.160413E-01
     65.00   6.348197E-01   6.274532E-01   5.404123E-01   5.405998E-01  -5.049841E-02   1.100255E-01
     66.00   6.071743E-01   5.998438E-01   5.127990E-01   5.130793E-01  -4.980698E-02   1.042370E-01
     67.00   5.810697E-01   5.737720E-01   4.867332E-01   4.871051E-01  -4.910828E-02   9.866865E-02
     68.00   5.564129E-01   5.491448E-01   4.621198E-01   4.625822E-01  -4.840314E-02   9.331331E-02
     69.00   5.331169E-01   5.258752E-01   4.388697E-01   4.394217E-01  -4.769234E-02   8.816376E-02
     70.00   5.111004E-01   5.038817E-01   4.168999E-01   4.175405E-01  -4.697664E-02   8.321275E-02
     71.00   4.902871E-01   4.830884E-01   3.961323E-01   3.968608E-01  -4.625672E-02   7.845306E-02
     72.00   4.706058E-01   4.634238E-01   3.764941E-01   3.773099E-01  -4.553329E-02   7.387755E-02
     73.00   4.519900E-01   4.448214E-01   3.579173E-01   3.588197E-01  -4.480697E-02   6.947917E-02
     74.00   4.343772E-01   4.272189E-01   3.403380E-01   3.413265E-01  -4.407837E-02   6.525100E-02
     75.00   4.177092E-01   4.105579E-01   3.236965E-01   3.247708E-01  -4.334804E-02   6.118626E-02
     76.00   4.019314E-01   3.947837E-01   3.079371E-01   3.090968E-01  -4.261651E-02   5.727833E-02
     77.00   3.869925E-01   3.798454E-01   2.930074E-01   2.942522E-01  -4.188421E-02   5.352077E-02
     78.00   3.728448E-01   3.656950E-01   2.788584E-01   2.801882E-01  -4.115154E-02   4.990730E-02
     79.00   3.594435E-01   3.522876E-01   2.654443E-01   2.668589E-01  -4.041885E-02   4.643184E-02
     80.00   3.467463E-01   3.395813E-01   2.527220E-01   2.542215E-01  -3.968640E-02   4.308849E-02
     81.00   3.347141E-01   3.275366E-01   2.406512E-01   2.422356E-01  -3.895440E-02   3.987153E-02
     82.00   3.233098E-01   3.161165E-01   2.291941E-01   2.308635E-01  -3.822301E-02   3.677543E-02
     83.00   3.124987E-01   3.052865E-01   2.183153E-01   2.200699E-01  -3.749233E-02   3.379485E-02
     84.00   3.022484E-01   2.950139E-01   2.079815E-01   2.098215E-01  -3.676241E-02   3.092462E-02
     85.00   2.925283E-01   2.852683E-01   1.981614E-01   2.000871E-01  -3.603328E-02   2.815975E-02
     86.00   2.833098E-01   2.760210E-01   1.888257E-01   1.908375E-01  -3.530490E-02   2.549542E-02
     87.00   2.745658E-01   2.672450E-01   1.799468E-01   1.820451E-01  -3.457725E-02   2.292701E-02
     88.00   2.662712E-01   2.589150E-01   1.714987E-01   1.736840E-01  -3.385026E-02   2.045005E-02
     89.00   2.584022E-01   2.510074E-01   1.634573E-01   1.657301E-01  -3.312386E-02   1.806026E-02
     90.00   2.509363E-01   2.434997E-01   1.557995E-01   1.581604E-01  -3.239794E-02   1.575350E-02
     91.00   2.438527E-01   2.363709E-01   1.485038E-01   1.509534E-01  -3.167242E-02   1.352584E-02
     92.00   2.371315E-01   2.296014E-01   1.415499E-01   1.440889E-01  -3.094717E-02   1.137351E-02
     93.00   2.307543E-01   2.231726E-01   1.349187E-01   1.375478E-01  -3.022206E-02   9.292885E-03
     94.00   2.247035E-01   2.170670E-01   1.285923E-01   1.313122E-01  -2.949695E-02   7.280539E-03
     95.00   2.189628E-01   2.112682E-01   1.225537E-01   1.253651E-01  -2.877166E-02   5.333195E-03
     96.00   2.135166E-01   2.057608E-01   1.167869E-01   1.196906E-01  -2.804600E-02   3.447743E-03
     97.00   2.083503E-01   2.005304E-01   1.112769E-01   1.142737E-01  -2.731974E-02   1.621233E-03
     98.00   2.034503E-01   1.955631E-01   1.060094E-01   1.091000E-01  -2.659262E-02  -1.491302E-04
     99.00   1.988036E-01   1.908462E-01   1.009709E-01   1.041561E-01  -2.586435E-02  -1.865990E-03
    100.00   1.943980E-01   1.863674E-01   9.614890E-02   9.942927E-02  -2.513460E-02  -3.531842E-03
    101.00   1.902219E-01   1.821154E-01   9.153121E-02   9.490742E-02  -2.440301E-02  -5.149035E-03
    102.00   1.862644E-01   1.780794E-01   8.710648E-02   9.057910E-02  -2.366919E-02  -6.719778E-03
    103.00   1.825152E-01   1.742490E-01   8.286390E-02   8.643343E-02  -2.293270E-02  -8.246138E-03
    104.00   1.789645E-01   1.706148E-01   7.879324E-02   8.246005E-02  -2.219310E-02  -9.730045E-03
    105.00   1.756030E-01   1.671675E-01   7.488474E-02   7.864911E-02  -2.144990E-02  -1.117329E-02
    106.00   1.724219E-01   1.638985E-01   7.112915E-02   7.499122E-02  -2.070261E-02  -1.257752E-02
    107.00   1.694129E-01   1.607996E-01   6.751763E-02   7.147740E-02  -1.995071E-02  -1.394425E-02
    108.00   1.665678E-01   1.578631E-01   6.404179E-02   6.809905E-02  -1.919366E-02  -1.527484E-02
    109.00   1.638791E-01   1.550815E-01   6.069357E-02   6.484793E-02  -1.843091E-02  -1.657052E-02
    110.00   1.613396E-01   1.524478E-01   5.746529E-02   6.171611E-02  -1.766190E-02  -1.783234E-02
    111.00   1.589421E-01   1.499554E-01   5.434959E-02   5.869596E-02  -1.688605E-02  -1.906122E-02
    112.00   1.566801E-01   1.475979E-01   5.133939E-02   5.578010E-02  -1.610278E-02  -2.025791E-02
    113.00   1.545471E-01   1.453693E-01   4.842788E-02   5.296138E-02  -1.531149E-02  -2.142299E-02
    114.00   1.525368E-01   1.432637E-01   4.560850E-02   5.023286E-02  -1.451157E-02  -2.255687E-02
    115.00   1.506433E-01   1.412756E-01   4.287491E-02   4.758777E-02  -1.370242E-02  -2.365981E-02
    116.00   1.488607E-01   1.393998E-01   4.022096E-02   4.501949E-02  -1.288342E-02  -2.473185E-02
    117.00   1.471833E-01   1.376310E-01   3.764069E-02   4.252152E-02  -1.205397E-02  -2.577288E-02
    118.00   1.456055E-01   1.359643E-01   3.512829E-02   4.008748E-02  -1.121348E-02  -2.678257E-02
    119.00   1.441220E-01   1.343950E-01   3.267806E-02   3.771106E-02  -1.036135E-02  -2.776040E-02
    120.00   1.427273E-01   1.329185E-01   3.028447E-02   3.538603E-02  -9.497027E-03  -2.870565E-02
    121.00   1.414161E-01   1.315303E-01   2.794206E-02   3.310621E-02  -8.619995E-03  -2.961738E-02
    122.00   1.401831E-01   1.302258E-01   2.564546E-02   3.086545E-02  -7.729780E-03  -3.049442E-02
    123.00   1.390232E-01   1.290008E-01   2.338938E-02   2.865763E-02  -6.825973E-03  -3.133536E-02
    124.00   1.379309E-01   1.278509E-01   2.116859E-02   2.647663E-02  -5.908242E-03  -3.213854E-02
    125.00   1.369009E-01   1.267719E-01   1.897791E-02   2.431637E-02  -4.976357E-03  -3.290206E-02
    126.00   1.359280E-01   1.257595E-01   1.681220E-02   2.217073E-02  -4.030201E-03  -3.362371E-02
    127.00   1.350066E-01   1.248092E-01   1.466632E-02   2.003361E-02  -3.069802E-03  -3.430101E-02
    128.00   1.341314E-01   1.239169E-01   1.253518E-02   1.789892E-02  -2.095351E-03  -3.493119E-02
    129.00   1.332966E-01   1.230779E-01   1.041367E-02   1.576055E-02  -1.107233E-03  -3.551116E-02
    130.00   1.324965E-01   1.222878E-01   8.296705E-03   1.361241E-02  -1.060568E-04  -3.603750E-02
    131.00   1.317255E-01   1.215420E-01   6.179184E-03   1.144844E-02   9.073128E-04  -3.650649E-02
    132.00   1.309776E-01   1.208356E-01   4.056008E-03   9.262632E-03   1.931721E-03  -3.691408E-02
    133.00   1.302468E-01   1.201638E-01   1.922083E-03   7.049058E-03   2.965685E-03  -3.725588E-02
    134.00   1.295271E-01   1.195215E-01  -2.276780E-04   4.801905E-03   4.007359E-03  -3.752722E-02
    135.00   1.288124E-01   1.189035E-01  -2.398335E-03   2.515526E-03   5.054490E-03  -3.772314E-02
    136.00   1.280967E-01   1.183044E-01  -4.594905E-03   1.845005E-04   6.104386E-03  -3.783839E-02
    137.00   1.273739E-01   1.177187E-01  -6.822334E-03  -2.196295E-03   7.153873E-03  -3.786754E-02
    138.00   1.266383E-01   1.171410E-01  -9.085459E-03  -4.631608E-03   8.199262E-03  -3.780498E-02
    139.00   1.258840E-01   1.165654E-01  -1.138897E-02  -7.125713E-03   9.236321E-03  -3.764502E-02
    140.00   1.251059E-01   1.159864E-01  -1.373736E-02  -9.682304E-03   1.026025E-02  -3.738194E-02
    141.00   1.242990E-01   1.153983E-01  -1.613485E-02  -1.230438E-02   1.126565E-02  -3.701015E-02
    142.00   1.234590E-01   1.147957E-01  -1.858532E-02  -1.499412E-02   1.224656E-02  -3.652432E-02
    143.00   1.225824E-01   1.141733E-01  -2.109227E-02  -1.775274E-02   1.319641E-02  -3.591947E-02
    144.00   1.216666E-01   1.135264E-01  -2.365865E-02  -2.058034E-02   1.410809E-02  -3.519126E-02
    145.00   1.207102E-01   1.128506E-01  -2.628683E-02  -2.347580E-02   1.497396E-02  -3.433609E-02
    146.00   1.197132E-01   1.121424E-01  -2.897849E-02  -2.643661E-02   1.578596E-02  -3.335143E-02
    147.00   1.186770E-01   1.113993E-01  -3.173447E-02  -2.945871E-02   1.653565E-02  -3.223600E-02
    148.00   1.176050E-01   1.106197E-01  -3.455470E-02  -3.253644E-02   1.721436E-02  -3.099009E-02
    149.00   1.165028E-01   1.098036E-01  -3.743810E-02  -3.566237E-02   1.781334E-02  -2.961580E-02
    150.00   1.153780E-01   1.089525E-01  -4.038243E-02  -3.882731E-02   1.832391E-02  -2.811738E-02
    151.00   1.142407E-01   1.080699E-01  -4.338428E-02  -4.202020E-02   1.873766E-02  -2.650140E-02
    152.00   1.131038E-01   1.071610E-01  -4.643893E-02  -4.522821E-02   1.904672E-02  -2.477709E-02
    153.00   1.119826E-01   1.062334E-01  -4.954033E-02  -4.843676E-02   1.924394E-02  -2.295645E-02
    154.00   1.108949E-01   1.052970E-01  -5.268109E-02  -5.162968E-02   1.932319E-02  -2.105437E-02
    155.00   1.098611E-01   1.043638E-01  -5.585248E-02  -5.478945E-02   1.927961E-02  -1.908871E-02
    156.00   1.089037E-01   1.034483E-01  -5.904444E-02  -5.789744E-02   1.910988E-02  -1.708016E-02
    157.00   1.080467E-01   1.025666E-01  -6.224572E-02  -6.093426E-02   1.881243E-02  -1.505202E-02
    158.00   1.073152E-01   1.017368E-01  -6.544395E-02  -6.388022E-02   1.838771E-02  -1.302987E-02
    159.00   1.067347E-01   1.009780E-01  -6.862582E-02  -6.671580E-02   1.783829E-02  -1.104102E-02
    160.00   1.063298E-01   1.003099E-01  -7.177723E-02  -6.942213E-02   1.716907E-02  -9.113795E-03
    161.00   1.061235E-01   9.975188E-02  -7.488353E-02  -7.198162E-02   1.638724E-02  -7.276721E-03
    162.00   1.061359E-01   9.932223E-02  -7.792974E-02  -7.437844E-02   1.550233E-02  -5.557533E-03
    163.00   1.063825E-01   9.903715E-02  -8.090080E-02  -7.659913E-02   1.452611E-02  -3.982089E-03
    164.00   1.068738E-01   9.890963E-02  -8.378179E-02  -7.863306E-02   1.347236E-02  -2.573234E-03
    165.00   1.076131E-01   9.894850E-02  -8.655820E-02  -8.047285E-02   1.235671E-02  -1.349664E-03
    166.00   1.085962E-01   9.915745E-02  -8.921611E-02  -8.211470E-02   1.119625E-02  -3.248660E-04
    167.00   1.098103E-01   9.953423E-02  -9.174238E-02  -8.355858E-02   1.000917E-02   4.937899E-04
    168.00   1.112333E-01   1.000701E-01  -9.412487E-02  -8.480827E-02   8.814381E-03   1.105730E-03
    169.00   1.128343E-01   1.007495E-01  -9.635246E-02  -8.587123E-02   7.631055E-03   1.517551E-03
    170.00   1.145733E-01   1.015501E-01  -9.841519E-02  -8.675833E-02   6.478188E-03   1.743033E-03
    171.00   1.164025E-01   1.024436E-01  -1.003043E-01  -8.748340E-02   5.374195E-03   1.802742E-03
    172.00   1.182678E-01   1.033961E-01  -1.020121E-01  -8.806263E-02   4.336531E-03   1.723211E-03
    173.00   1.201102E-01   1.043697E-01  -1.035323E-01  -8.851384E-02   3.381365E-03   1.535712E-03
    174.00   1.218688E-01   1.053241E-01  -1.048593E-01  -8.885563E-02   2.523317E-03   1.274670E-03
    175.00   1.234828E-01   1.062184E-01  -1.059889E-01  -8.910656E-02   1.775259E-03   9.757944E-04
    176.00   1.248944E-01   1.070132E-01  -1.069174E-01  -8.928423E-02   1.148179E-03   6.740516E-04
    177.00   1.260518E-01   1.076730E-01  -1.076422E-01  -8.940439E-02   6.511011E-04   4.015924E-04
    178.00   1.269116E-01   1.081674E-01  -1.081613E-01  -8.948021E-02   2.910430E-04   1.857961E-04
    179.00   1.274412E-01   1.084736E-01  -1.084732E-01  -8.952159E-02   7.301020E-05   4.756474E-05
    180.00   1.276200E-01   1.085773E-01  -1.085773E-01  -8.953469E-02   0.000000E+00   0.000000E+00
#
# lambda [um]   =   5.5000000E-01
# m =   1.5720000E+00  + i   5.7760000E-02
# Cext/H [um^2] =   2.7312986E-14
# Csca/H [um^2] =   2.0758929E-14
# albedo        =   7.6003877E-01
# g = a1(2)/3   =   6.6914611E-01
# g (Csca-wtd single-size, cross-check) =   6.6914611E-01
# Lmax          = 120
# alpha_1(0) (exactly 1 by construction) =   1.00000000104813E+00
# (1/2)int F11 dcos on this 1-deg grid   =   1.0002093E+00
#   (differs from 1 only by trapezoid error on the
#    forward peak; alpha_1(0) is the exact statement)
# van der Mee & Hovenier test: SATISFIED
# size bins: small-x limit 51, large-x limit 3, T-matrix failures redirected 0
#   Theta[deg]          F11            F22            F33            F44            F12            F34
      0.00   1.011025E+01   1.009714E+01   1.009714E+01   1.008403E+01   0.000000E+00   0.000000E+00
      1.00   1.009726E+01   1.008415E+01   1.008415E+01   1.007106E+01  -2.828004E-04   1.385154E-03
      2.00   1.005846E+01   1.004536E+01   1.004535E+01   1.003230E+01  -1.127580E-03   5.512656E-03
      3.00   9.994298E+00   9.981202E+00   9.981189E+00   9.968195E+00  -2.523563E-03   1.229962E-02
      4.00   9.905521E+00   9.892434E+00   9.892393E+00   9.879488E+00  -4.453084E-03   2.161117E-02
      5.00   9.793143E+00   9.780068E+00   9.779970E+00   9.767176E+00  -6.892015E-03   3.326507E-02
      6.00   9.658421E+00   9.645362E+00   9.645162E+00   9.632503E+00  -9.810339E-03   4.703793E-02
      7.00   9.502825E+00   9.489785E+00   9.489424E+00   9.476920E+00  -1.317284E-02   6.267249E-02
      8.00   9.327999E+00   9.314982E+00   9.314381E+00   9.302052E+00  -1.693989E-02   7.988567E-02
      9.00   9.135724E+00   9.122733E+00   9.121798E+00   9.109663E+00  -2.106831E-02   9.837701E-02
     10.00   8.927880E+00   8.914919E+00   8.913538E+00   8.901614E+00  -2.551224E-02   1.178370E-01
     11.00   8.706406E+00   8.693480E+00   8.691528E+00   8.679829E+00  -3.022404E-02   1.379554E-01
     12.00   8.473265E+00   8.460378E+00   8.457715E+00   8.446255E+00  -3.515515E-02   1.584280E-01
     13.00   8.230410E+00   8.217567E+00   8.214045E+00   8.202834E+00  -4.025691E-02   1.789636E-01
     14.00   7.979754E+00   7.966959E+00   7.962420E+00   7.951469E+00  -4.548134E-02   1.992897E-01
     15.00   7.723143E+00   7.710402E+00   7.704683E+00   7.694000E+00  -5.078181E-02   2.191559E-01
     16.00   7.462335E+00   7.449652E+00   7.442591E+00   7.432182E+00  -5.611362E-02   2.383381E-01
     17.00   7.198983E+00   7.186363E+00   7.177797E+00   7.167667E+00  -6.143452E-02   2.566403E-01
     18.00   6.934622E+00   6.922070E+00   6.911840E+00   6.901993E+00  -6.670511E-02   2.738953E-01
     19.00   6.670659E+00   6.658180E+00   6.646135E+00   6.636572E+00  -7.188916E-02   2.899657E-01
     20.00   6.408369E+00   6.395968E+00   6.381964E+00   6.372687E+00  -7.695381E-02   3.047427E-01
     21.00   6.148891E+00   6.136573E+00   6.120479E+00   6.111487E+00  -8.186970E-02   3.181453E-01
     22.00   5.893233E+00   5.881001E+00   5.862697E+00   5.853990E+00  -8.661108E-02   3.301183E-01
     23.00   5.642268E+00   5.630128E+00   5.609507E+00   5.601082E+00  -9.115574E-02   3.406305E-01
     24.00   5.396747E+00   5.384702E+00   5.361672E+00   5.353527E+00  -9.548496E-02   3.496723E-01
     25.00   5.157298E+00   5.145352E+00   5.119836E+00   5.111967E+00  -9.958342E-02   3.572533E-01
     26.00   4.924440E+00   4.912596E+00   4.884532E+00   4.876935E+00  -1.034390E-01   3.633995E-01
     27.00   4.698585E+00   4.686847E+00   4.656188E+00   4.648859E+00  -1.070427E-01   3.681512E-01
     28.00   4.480052E+00   4.468422E+00   4.435136E+00   4.428070E+00  -1.103881E-01   3.715605E-01
     29.00   4.269074E+00   4.257554E+00   4.221622E+00   4.214813E+00  -1.134717E-01   3.736888E-01
     30.00   4.065804E+00   4.054397E+00   4.015813E+00   4.009257E+00  -1.162922E-01   3.746050E-01
     31.00   3.870327E+00   3.859035E+00   3.817808E+00   3.811499E+00  -1.188503E-01   3.743834E-01
     32.00   3.682669E+00   3.671493E+00   3.627641E+00   3.621573E+00  -1.211487E-01   3.731020E-01
     33.00   3.502801E+00   3.491741E+00   3.445294E+00   3.439461E+00  -1.231919E-01   3.708409E-01
     34.00   3.330648E+00   3.319706E+00   3.270703E+00   3.265099E+00  -1.249854E-01   3.676813E-01
     35.00   3.166097E+00   3.155274E+00   3.103763E+00   3.098382E+00  -1.265363E-01   3.637037E-01
     36.00   3.009004E+00   2.998300E+00   2.944335E+00   2.939172E+00  -1.278524E-01   3.589878E-01
